year,value,units,variable_code
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 3,CC21,"Textile
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
2023,Level 4,CC211,Textile and Leather Manufacturing
